scen,demand_mw,shed_mw,shed,cost_usd,lmp_at_slack,n_at_limit,lmp_spread,expensive_on
1018,881.2133752216746,0.0,false,97479.09438896259,137.08524548734061,1,27.989242907315187,false
1019,808.8562279812961,0.0,false,87465.80836200804,133.6639011663409,1,8.899477930059803,false
1020,1333.6896499794857,198.03970659001544,true,150918.7604112854,9882.896397549994,2,9989.999999000001,false
1021,471.52370874021005,0.0,false,42913.62166584091,126.39686700000038,0,3.979039320256561e-13,false
1022,263.53069189144145,0.0,false,17912.585095433296,96.05429600000028,0,2.8421709430404007e-13,false
1023,773.4013107859494,0.0,false,82729.64655171987,133.6639011663413,1,8.899477930059717,false
1024,627.8099244599545,0.0,false,62771.27198107119,133.66389757134772,1,8.899473527497577,false
1025,325.3299033800359,0.0,false,24435.18357066989,126.39686500000033,0,3.410605131648481e-13,false
1026,779.61802774203,0.0,false,84446.87251199337,137.08524580922278,1,27.989246368875953,false
1027,1052.8799426448481,0.0,false,138199.11472071658,587.3889567366191,1,1207.1821364925659,true
1028,1440.0410632494297,350.4447319039035,true,147388.05299119058,8510.691731332496,4,20321.15007512246,true
1029,865.752203666413,0.0,false,94696.57471192631,133.66390116634102,1,8.89947793005976,false
1030,356.80629294682217,0.0,false,28413.700407524775,126.39686500000028,0,4.547473508864641e-13,false
1031,651.5493295745806,0.0,false,66316.88550034685,133.66389847009577,1,8.899474628138123,false
1032,1873.0895580323627,738.8488709256338,true,140422.93865577393,9999.999999999993,2,9873.603132000004,false
1033,592.8647352010029,0.0,false,58572.06570951884,133.66389757134743,1,8.899473527497491,false
1034,693.8778818334038,0.0,false,71825.71653341042,133.66389936884428,1,8.899475728778754,false
1035,599.8610981156339,0.0,false,59421.13240360234,133.66389757134743,1,8.899473527497491,false
1036,1075.4891911478237,0.0,false,132479.7220696269,212.6280832722182,1,105.60193955791979,false
1037,907.6985985631343,0.0,false,101781.05010511343,154.07121534002567,1,72.4697444900597,false
1038,1176.1443750318674,62.06536601672735,true,137875.36447152172,9969.473195290167,2,9903.945704,false
