hour,window_hour,branch,from_bus,to_bus,flow_mw,limit_mw,loading
6320,8,6,Waianae,Waialua,156.1190424728858,200.0,0.7805952123644291
6320,8,7,Waialua,Wahiawa,11.473659777862197,200.0,0.057368298889310984
6320,8,8,Wahiawa,Ewa-Central,-22.831642244037802,400.0,0.05707910561009451
6320,8,9,Waialua,Koolauloa,133.47586425676366,200.0,0.6673793212838183
6320,8,10,Koolauloa,Koolaupoko,115.44612233293367,200.0,0.5772306116646684
6321,9,1,Kahe,Ewa-West,118.0191116953,400.0,0.29504777923825
6321,9,2,Kahe,Waianae,195.67489208375557,200.0,0.9783744604187778
6321,9,3,Ewa-West,Ewa-Central,400.0,400.0,1.0
6321,9,4,Ewa-Central,Honolulu,307.4857483193659,600.0,0.5124762471989431
6321,9,5,Honolulu,Koolaupoko,-15.834038357479079,200.0,0.0791701917873954
6321,9,6,Waianae,Waialua,154.22043533239057,200.0,0.7711021766619528
6321,9,7,Waialua,Wahiawa,13.34835079473645,200.0,0.06674175397368226
6321,9,8,Wahiawa,Ewa-Central,-19.890791284613545,400.0,0.049726978211533865
6321,9,9,Waialua,Koolauloa,130.04969882916407,200.0,0.6502484941458203
6321,9,10,Koolauloa,Koolaupoko,112.58029561336906,200.0,0.5629014780668453
6322,10,1,Kahe,Ewa-West,117.14736355,400.0,0.292868408875
6322,10,2,Kahe,Waianae,192.02203811985592,200.0,0.9601101905992796
6322,10,3,Ewa-West,Ewa-Central,400.0,400.0,1.0
6322,10,4,Ewa-Central,Honolulu,295.48263248381994,600.0,0.4924710541396999
6322,10,5,Honolulu,Koolaupoko,-16.102605973680042,200.0,0.08051302986840021
6322,10,6,Waianae,Waialua,152.0721268423559,200.0,0.7603606342117796
6322,10,7,Waialua,Wahiawa,15.469597756175851,200.0,0.07734798878087926
6322,10,8,Wahiawa,Ewa-Central,-16.563164968824147,400.0,0.041407912422060364
6322,10,9,Waialua,Koolauloa,126.17293037118003,200.0,0.6308646518559001
6322,10,10,Koolauloa,Koolaupoko,109.33756058868003,200.0,0.5466878029434001
6323,11,1,Kahe,Ewa-West,110.43554651776606,400.0,0.27608886629441515
6323,11,2,Kahe,Waianae,185.57260848223402,200.0,0.9278630424111701
6323,11,3,Ewa-West,Ewa-Central,394.40750336666605,400.0,0.9860187584166651
6323,11,4,Ewa-Central,Honolulu,280.5007982668334,600.0,0.4675013304447223
6323,11,5,Honolulu,Koolaupoko,-16.017337077681617,200.0,0.08008668538840809
6323,11,6,Waianae,Waialua,147.55452631047902,200.0,0.7377726315523951
6323,11,7,Waialua,Wahiawa,16.86419417257234,200.0,0.0843209708628617
6323,11,8,Wahiawa,Ewa-Central,-13.61958330087766,400.0,0.034048958252194145
6323,11,9,Waialua,Koolauloa,120.76507002127667,200.0,0.6038253501063834
6323,11,10,Koolauloa,Koolaupoko,104.74379609811167,200.0,0.5237189804905583
6324,12,1,Kahe,Ewa-West,106.69821657153881,400.0,0.26674554142884704
6324,12,2,Kahe,Waianae,183.75984842846117,200.0,0.9187992421423058
6324,12,3,Ewa-West,Ewa-Central,390.8345670862388,400.0,0.977086417715597
6324,12,4,Ewa-Central,Honolulu,278.5120467568092,600.0,0.46418674459468195
6324,12,5,Honolulu,Koolaupoko,-15.793195553535751,200.0,0.07896597776767876
6324,12,6,Waianae,Waialua,146.02549240759618,200.0,0.7301274620379808
6324,12,7,Waialua,Wahiawa,16.41509792138538,200.0,0.08207548960692691
6324,12,8,Wahiawa,Ewa-Central,-13.841181362964615,400.0,0.03460295340741154
6324,12,9,Waialua,Koolauloa,119.75920387072078,200.0,0.5987960193536039
6324,12,10,Koolauloa,Koolaupoko,103.85749553642579,200.0,0.5192874776821289
6325,13,1,Kahe,Ewa-West,111.88758811184971,400.0,0.2797189702796243
6325,13,2,Kahe,Waianae,186.2769088881504,200.0,0.9313845444407519
6325,13,3,Ewa-West,Ewa-Central,395.7956741107097,400.0,0.9894891852767742
